name,place_id,rating_place,price_level,user_ratings_total,lat_place,lng_place
Ha Gow Dim Sum House,ChIJb7oICIfM1IkR60wAAqlf0p8,4.0,1,171,43.6804995,-79.3375727
Boland's Open Kitchen & Wine Bar,ChIJB77tEDEzK4gRaIufKs5_4Q0,4.3,2,76,43.7034604,-79.3879812
sophies dine-in and takeout,ChIJ4clCdfszK4gRHp8DB4xIRps,4.5,0,2,43.7048569,-79.40822639999999
Swiss Chalet Rotisserie & Grill,ChIJX50sTjszK4gRlH7PVsTg0Fk,3.5,2,80,43.706892,-79.39644299999999
The Pickle Barrel,ChIJ27uwtzwzK4gRDJYj-bT4Ez8,3.5,2,604,43.7072274,-79.3989594
The Mt Pleasant Rose,ChIJm2tGyyYzK4gRT9YEFHnm654,4.1,0,36,43.7071748,-79.3900135
Swiss Chalet Rotisserie & Grill,ChIJte6elSzN1IkRV41YRGQCRCw,3.4,2,19,43.72160640000001,-79.3759228
Kamasutra Fine Indian Restaurant & Banquets,ChIJZ7Pmdc7M1IkRIF5FQSri5b0,4.2,2,259,43.703998,-79.374837
TYC - by Sanjeev Kapoor,ChIJ5_hxSTszK4gRStqAnztsMNI,4.1,3,486,43.70702199999999,-79.396045
A&W Canada,ChIJcyml-CAzK4gRDWJCgLRUc6k,4.4,1,170,43.7151489,-79.39994399999999
Chacho's,ChIJjZnfzTczK4gRYQnFm-eKV5E,4.1,2,200,43.697759,-79.38914969999999
Cibo Wine Bar Yonge St,ChIJI4QCySMzK4gRKPFdg6B7FrI,3.9,2,892,43.7114142,-79.3996305
The Chef Upstairs,ChIJycWyzDYzK4gR7Qo1s_nG714,4.1,0,22,43.7018753,-79.38787490000001
Grazie Ristorante,ChIJ_yW-EiMzK4gRvHHqG-LFF4E,4.4,2,1497,43.7093346,-79.3986467
The Captain's Boil,ChIJgXNoXyAzK4gRJNPWL1TX0nY,4.3,2,173,43.7158132,-79.39999329999999
Paramount Middle Eastern Kitchen,ChIJTV_xSyMzK4gRVG3l9c19CA4,4.0,2,542,43.7078265,-79.39831629999999
La Vecchia Restaurant,ChIJa5o8oSMzK4gR5Lbbne-B_E8,4.3,2,773,43.7102105,-79.39891159999999
A&W Canada,ChIJSSHexzwzK4gRZz9FBQVpW2M,3.7,1,42,43.707563,-79.39885
Harvey’s,ChIJHcgOCwXT1IkRkhJW3L1wuek,2.5,0,8,43.7530644,-79.3576702
Swiss Chalet Rotisserie & Grill,ChIJkTLyRKDS1IkRIuaZePHPnrA,3.7,2,338,43.7530065,-79.35773429999999
The Keg Steakhouse + Bar - Leslie Street,ChIJJxsUTKLS1IkRRVSoeMEIsW0,4.4,3,1834,43.7588997,-79.3604731
Oliver & Bonacini Café Grill,ChIJQ7nEMKwyK4gRgMZGbBP5uJ4,3.7,3,672,43.7681407,-79.38644149999999
IL FORNELLO - Bayview Village,ChIJIZb_IEktK4gR6QwBOmPQiTY,4.1,2,244,43.7684877,-79.3861955
Windfield's Restaurant,ChIJkTLyRKDS1IkRM4p0qjfUQYs,4.1,2,343,43.7528592,-79.35843500000001
