restaurant_id,city_id,name,international_phone_number,formatted_address,latitude,longitude
487,1,Cafe Mirage Grill & Lounge,14163351177,"26 William Kitchen Rd, Scarborough, ON M1P 5B7, Canada",43.772813,-79.281885
488,1,Eastside Social,14164615663,"1008 Queen St E, Toronto, ON M4M 1K1, Canada",43.6614299,-79.3391122
489,1,Jack Astor's,14166262700,"1900 The Queensway, Etobicoke, ON M9C 5H5, Canada",43.614208,-79.56008
490,1,Sauvignon,14166861998,"1862 Queen St E, Toronto, ON M4L 1H1, Canada",43.6686644,-79.3071895
491,1,Sushi-Ya Japan,14162499666,"621 Dixon Rd, Etobicoke, ON M9W 1H7, Canada",43.690199,-79.575943
492,1,Momiji,14162322320,"2955 Bloor St W, Etobicoke, ON M8X 1B8, Canada",43.6477564,-79.5085179
493,1,Mandarin Restaurant - Scarborough,14162881177,"2206 Eglinton Ave E, Scarborough, ON M1L 4S7, Canada",43.7308171,-79.279347
494,1,Woods Restaurant & Bar,14162149918,"45 Colborne St, Toronto, ON M5E 1E3, Canada",43.648974,-79.3750831
495,1,Lenny's Panini & Pizza,14162392222,"4748 Dundas St W, Etobicoke, ON M9A 1A9, Canada",43.6527566,-79.5256413
496,1,Zucca,14164885774,"2150 Yonge St, Toronto, ON M4S 2A8, Canada",43.7037349,-79.3979305
497,1,Crave Healthy Habits,14162382628,"145 King St W, Toronto, ON M5H 1J8, Canada",43.6474734,-79.3839517
498,1,Pearl Diver,14163667827,"100 Adelaide St E, Toronto, ON M5C 1K9, Canada",43.6515704,-79.3737704
499,1,Sir Greek,14164690782,"1309 Danforth Ave, Toronto, ON M4J 1M8, Canada",43.681835,-79.3296433
500,1,Local 1794,14164631794,"1794 Danforth Ave, Toronto, ON M4C 1H8, Canada",43.6845667,-79.3188481
501,1,MeNami,14162296191,"5469 Yonge St, North York, ON M2N 5S1, Canada",43.7778404,-79.4147699
502,1,Te Aro,14164652006,"983 Queen St E, Toronto, ON M4M 1K2, Canada",43.6612046,-79.3384806
503,1,OK OK Diner,14164612988,"1128 Queen St E, Toronto, ON M4M 1K9, Canada",43.6623207,-79.3351048
504,1,Karine's Fresh,14165910863,"109 McCaul St, Toronto, ON M5T 3K5, Canada",43.6537184,-79.3909035
505,1,Coco Rice,14165049434,"669 King St W, Toronto, ON M5V 1M9, Canada",43.6437353,-79.4029618
506,1,Aji Sai,14166033366,"467 Queen St W, Toronto, ON M5V 2A9, Canada",43.648377,-79.397401
507,1,Chef Of India,14164855552,"3187 Yonge St, Toronto, ON M4N 2K9, Canada",43.727571,-79.402579
508,1,Bolet's Burrito,14163645811,"134 Lower Sherbourne St, Toronto, ON M5A 4J4, Canada",43.6499803,-79.3678804
509,1,Cafe Frappe,14164620693,"519 Danforth Ave, Toronto, ON M4K 1P5, Canada",43.6780317,-79.3485668
510,1,Bún Saigon,14165042188,"254 Spadina Ave, Toronto, ON M5T 3B3, Canada",43.6516736,-79.3978011
511,1,Alo Restaurant,14162602222,"163 Spadina Ave, Toronto, ON M5V 2L6, Canada",43.6485391,-79.3959372
512,1,Chris Jerk Caribbean Bistro,14162975375,"2570 Birchmount Rd, Scarborough, ON M1T 2M5, Canada",43.7895886,-79.3024134
513,1,Tokyo Sushi,14164869006,"373 Eglinton Ave W, Toronto, ON M5N 1A3, Canada",43.7040086,-79.4104953
514,1,Anjappar Chettinad,14162652695,"3090 Eglinton Ave E, Scarborough, ON M1J 2H1, Canada",43.7417375,-79.2269196
515,1,Sashimi Island,14165351888,"635 College St, Toronto, ON M6G 1B4, Canada",43.65487,-79.415094
516,1,Amaya Express,14162140005,"100 King St W, Toronto, ON M5X 2A2, Canada",43.6490203,-79.3823572
517,1,Orbit Room,14165350613,"580 College St, Toronto, ON M6G 1B3, Canada",43.6555281,-79.4132905
518,1,360 Restaurant,14163625411,"290 Bremner Blvd, Toronto, ON M5V 3L9, Canada",43.6427879,-79.3871231
519,1,Nak Won,14165901435,"5594 Yonge St, North York, ON M2N 5S2, Canada",43.7794061,-79.4157613
520,1,Mastro Nick,14166516001,"1755 Keele St, York, ON M6M 3W9, Canada",43.6863512,-79.4732264
521,1,Rosewood,14165939998,"463 Dundas St W, Toronto, ON M5T 1G8, Canada",43.6531283,-79.3966225
522,1,Baro,14163638388,"485 King St W, Toronto, ON M5V 1K4, Canada",43.6449022,-79.3969369
523,1,Azure - InterContinental Toronto Centre Hotel,14165978142,"225 Front St W, Toronto, ON M5V 2X3, Canada",43.6444547,-79.3854827
524,1,Pizzeria Libretto,14164660400,"550 Danforth Ave, Toronto, ON M4K 1P7, Canada",43.6785694,-79.3477086
525,1,Wakame Sushi,14162410505,"2625 Weston Rd #31, North York, ON M9N 3X2, Canada",43.7111662,-79.5313055
526,1,Rodeo Brazilian Steakhouse,14164650969,"95 Danforth Ave, Toronto, ON M4K 1N2, Canada",43.6761368,-79.3583673
527,1,Ginger Pho,14162418787,"2590 Weston Rd, North York, ON M9N 2A9, Canada",43.7106098,-79.5351879
528,1,Makkah Restaurant,14164062500,"1020 Danforth Ave, Toronto, ON M4J 1M2, Canada",43.680795,-79.336709
529,1,Arepa Cafe,14163624111,"490 Queen St W, Toronto, ON M5V 2B3, Canada",43.6479443,-79.4009188
530,1,Sushi Mugen,14164630114,"1105 Queen St E, Toronto, ON M4M 1K7, Canada",43.66189,-79.33563
531,1,Market Coffee,14165060400,"14 Queen St W, Toronto, ON M5H 3X4, Canada",43.6525354,-79.3805141
532,1,Duke Of Westminster,14163682761,"77 Adelaide Street West, Toronto, ON M5X 1A6, Canada",43.6494066,-79.3820884
533,1,China Cottage,14164456721,"80 Ellesmere Rd #11, Scarborough, ON M1R 4C2, Canada",43.7592947,-79.310626
534,1,The Old Nick,14164615546,"123 Danforth Ave, Toronto, ON M4K 1N2, Canada",43.6762338,-79.3577761
535,1,Giancarlo Trattoria,14165339619,"41 Clinton St, Toronto, ON M6J 2N9, Canada",43.6550061,-79.4136603
536,1,New Ho King,14165951881,"410 Spadina Ave, Toronto, ON M5T 2G7, Canada",43.6561548,-79.3996914
537,1,The Auld Spot,14164064688,"347 Danforth Ave, Toronto, ON M4K 1N7, Canada",43.6772036,-79.3530943
538,1,Serano Bakery,14164622735,"830 Pape Ave, East York, ON M4K 3T5, Canada",43.6828798,-79.346769
539,1,Korean Grill House,14162639850,"214 Queen St W, Toronto, ON M5V 1Z2, Canada",43.6503669,-79.3893233
540,1,Pho 88,14164978899,"325 Bamburgh Cir, Scarborough, ON M1W 3Y1, Canada",43.8144248,-79.3235824
541,1,Tom's Dairy Freeze,14162591846,"630 The Queensway, Etobicoke, ON M8Y 1K5, Canada",43.6278936,-79.4965373
542,1,East Of York,14164219990,"1904 Danforth Ave, Toronto, ON M4C 1J4, Canada",43.6850442,-79.3166439
543,1,Reverie at Weldon Park,14165338841,"569 College St, Toronto, ON M6G 1B2, Canada",43.65516,-79.412779
544,1,Sushi Moto,14162240741,"4901 Yonge St, North York, ON M2N 5N6, Canada",43.7639835,-79.4113432
545,1,Panagio's,14162932444,"1928 McCowan Rd, Scarborough, ON M1S 4K1, Canada",43.7922366,-79.260301
546,1,Cora's Breakfast & Lunch,14163401350,"27 Carlton St, Toronto, ON M5B 1L2, Canada",43.6612749,-79.3813508
547,1,Naan & Kabob,14162858191,"1801 Lawrence Ave E, Scarborough, ON M1R 2X9, Canada",43.7424279,-79.3052267
548,1,Kramer's Bar and Grill,14164830697,"1915 Yonge St, Toronto, ON M4S 1Z3, Canada",43.698613,-79.396484
549,1,Katsu Sushi,14164663388,"572 Danforth Ave, Toronto, ON M4K 1R1, Canada",43.6786948,-79.3470507
550,1,Sumac Kebab Kitchen,14166278400,"287 Dundas St W, Toronto, ON M5T 1G2, Canada",43.6542867,-79.3909954
551,1,Gerrard Spaghetti & Pizza,14164637792,"1528 Danforth Ave, Toronto, ON M4J 1N4, Canada",43.6833225,-79.3248004
552,1,Paese Ristorante,14166316585,"3827 Bathurst St, North York, ON M3H 3N1, Canada",43.7397281,-79.4342103
553,1,Avenue Open Kitchen,14165047131,"7 Camden St, Toronto, ON M5V 1V2, Canada",43.647128,-79.396451
554,1,Via Allegro Ristorante,14166226677,"1750 The Queensway, Etobicoke, ON M9C 5H5, Canada",43.6151219,-79.5574415
555,1,Second Cup,14165864800,"14 St Matthews Rd, Toronto, ON M4M 2B5, Canada",43.6658334,-79.355147
556,1,Jamies Italian Yorkdale,14162387450,"Yorkdale Shopping Centre, 3401 Dufferin St, North York, ON M6A 2T9, Canada",43.726592,-79.453016
557,1,Jack Astor's,14162960965,"580 Progress Ave, Scarborough, ON M1P 2K2, Canada",43.7775425,-79.2542742
